origin,actorId,networkId,targetId,finalDamage,hpAfter,seq,activateRttMs,sendToHpMs,activateToHpMs,likelyGated
LocalPlayer,1,2,0,0,0,0,64,-1,-1,False
Monster,-1,107,1,1,0,0,-1,-1,-1,False
LocalPlayer,1,3,0,0,0,0,50,-1,-1,False
LocalPlayer,1,4,0,0,0,0,40,-1,-1,False
Monster,-2,107,1,1,0,0,-1,-1,-1,False
LocalPlayer,1,2,0,0,0,0,40,-1,-1,False
LocalPlayer,1,3,0,0,0,0,22,-1,-1,False
RemotePlayer,382,2,0,0,0,0,-1,-1,-1,False
RemotePlayer,382,2,0,0,0,0,-1,-1,-1,False
Monster,-4,100,382,3,0,0,-1,-1,-1,False
RemotePlayer,382,3,-4,31,9,160,-1,-1,13,False
RemotePlayer,382,4,0,0,0,0,-1,-1,-1,False
RemotePlayer,382,2,0,0,0,0,-1,-1,-1,False
LocalPlayer,1,2,0,0,0,0,50,-1,-1,False
LocalPlayer,1,2,0,0,0,0,26,-1,-1,False
LocalPlayer,1,3,0,0,0,0,22,-1,-1,False
LocalPlayer,1,4,0,0,0,0,24,-1,-1,False
LocalPlayer,1,2,-6,35,20,13,36,50,14,False
Monster,-6,102,1,1,0,0,-1,-1,-1,False
LocalPlayer,1,3,0,0,0,0,20,-1,-1,False
LocalPlayer,1,4,0,0,0,0,94,-1,-1,False
RemotePlayer,382,2,0,0,0,0,-1,-1,-1,False
RemotePlayer,382,2,-7,26,39,11,-1,-1,16,False
Monster,-7,101,382,5,0,0,-1,-1,-1,False
RemotePlayer,382,3,-7,31,8,13,-1,-1,14,False
RemotePlayer,382,4,0,0,0,0,-1,-1,-1,False
LocalPlayer,1,2,0,0,0,0,35,-1,-1,False
LocalPlayer,1,2,0,0,0,0,26,-1,-1,False
Monster,-8,108,1,2,0,0,-1,-1,-1,False
LocalPlayer,1,3,-8,40,60,17,19,32,13,False
LocalPlayer,1,4,-8,50,10,19,15,30,15,False
Monster,-8,108,1,2,0,0,-1,-1,-1,False
LocalPlayer,1,2,0,0,0,0,76,-1,-1,False
LocalPlayer,1,3,0,0,0,0,30,-1,-1,False
LocalPlayer,1,2,0,0,0,0,50,-1,-1,False

monsterInstanceId,actorId,lastHp,lastSeq,updates,staleDrops,totalDamage
1,-1,20,85,35,0,0
2,-2,20,102,53,0,0
3,-3,40,234,185,0,0
4,-4,9,161,112,0,31
5,-5,40,21,20,0,0
6,-6,20,15,14,0,35
7,-7,8,14,13,0,57
8,-8,10,20,19,0,90
